,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
6327,41126515,34192650,Little Portugal,43.64399,-79.4254,Entire home/apt,120.0,30,1,2020-08-31,0.02,3,0,0,4.85
6328,41130470,114319888,Henry Farm,43.77441,-79.34431,Entire home/apt,120.0,30,1,2020-01-25,0.02,1,0,0,4.85
6329,41130834,273379624,Newtonbrook East,43.79676,-79.41877,Entire home/apt,120.0,28,8,2020-08-29,0.17,2,0,0,4.5
6330,41147280,322223428,Church-Yonge Corridor,43.65245,-79.37863,Entire home/apt,120.0,31,30,2022-09-01,0.61,1,311,0,4.77
6331,41154744,1854872,Flemingdon Park,43.72047,-79.33519,Private room,38.0,28,4,2022-09-09,0.08,5,26,0,3.75
6332,41173077,223481968,Birchcliffe-Cliffside,43.71612,-79.25358,Private room,69.0,28,54,2023-01-13,1.12,1,56,1,4.94
6333,41179286,317111225,Leaside-Bennington,43.71089,-79.37205,Private room,80.0,10,28,2023-10-20,0.58,3,102,10,4.75
6334,41182483,100711175,Cabbagetown-South St.James Town,43.67181,-79.36971,Entire home/apt,120.0,28,5,2020-02-16,0.1,1,0,0,4.4
6335,41196876,174063,South Parkdale,43.63713,-79.43946,Entire home/apt,50.0,90,12,2024-01-03,0.38,4,267,3,5.0
6336,41197997,317111225,Leaside-Bennington,43.71076,-79.37241,Private room,80.0,30,26,2023-12-02,0.54,3,67,14,4.81
6337,41208044,307931347,Etobicoke West Mall,43.63941,-79.5638,Entire home/apt,120.0,28,5,2020-05-12,0.1,3,0,0,3.8
6338,41208829,308763111,Bay Street Corridor,43.65537,-79.38346,Private room,240.0,28,12,2020-11-13,0.25,2,180,0,5.0
6339,41208950,323352924,Bedford Park-Nortown,43.71276,-79.42801,Private room,1000.0,28,1,2020-02-25,0.02,1,89,0,1.5
6340,41209726,51070968,Trinity-Bellwoods,43.65524,-79.40822,Entire home/apt,107.0,29,36,2023-12-17,0.75,7,238,8,4.78
6341,41211211,323385977,Newtonbrook West,43.78141,-79.43393,Entire home/apt,200.0,3,51,2023-11-01,1.05,1,16,18,4.51
6342,41213853,323436010,Annex,43.67465,-79.39396,Entire home/apt,150.0,28,1,2020-09-07,0.02,1,88,0,4.85
6343,41219378,180209697,Weston,43.70596,-79.52934,Entire home/apt,120.0,28,1,2020-02-16,0.02,1,0,0,4.85
6344,41230025,34192650,South Parkdale,43.64179,-79.42772,Entire home/apt,90.0,28,19,2020-07-19,0.39,3,0,0,4.84
6345,41230795,325273,South Riverdale,43.66682,-79.33363,Entire home/apt,78.0,1,113,2023-11-22,2.49,1,0,46,4.8
6346,41241255,323778658,Waterfront Communities-The Island,43.64312,-79.38863,Private room,157.0,2,12,2023-12-01,0.25,2,10,5,4.75
6347,41243254,282597282,Henry Farm,43.76841,-79.34467,Entire home/apt,172.0,28,1,2020-02-17,0.02,2,0,0,1.5
6348,41267805,60830562,Danforth,43.683773,-79.336266,Entire home/apt,119.0,3,124,2023-12-10,2.59,1,88,35,4.9
6349,41267906,309589086,Long Branch,43.58916,-79.53253,Entire home/apt,136.0,28,20,2023-09-24,0.41,1,301,2,4.8
6350,41282082,217125425,Kensington-Chinatown,43.65017,-79.4048,Entire home/apt,275.0,28,43,2023-11-18,0.88,1,0,32,4.7
6351,41291864,242977063,Danforth,43.68473109186876,-79.32537415,Entire home/apt,120.0,28,11,2023-08-17,0.24,1,365,3,4.91
