,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16643,943599919941655499,Rental unit in Toronto · ★5.0 · 2 bedrooms · 2 beds · 1 bath,189654054,Kensington-Chinatown,43.65178,-79.38731,Entire home/apt,260.0,1,4,2024-01-01,1.97,1,171,4,5.0
16644,943606171179597437,Rental unit in Toronto · 1 bedroom · 2 beds · 1 bath,239513850,Willowdale West,43.76664507190086,-79.41415925,Entire home/apt,110.0,28,1,2023-12-01,0.77,1,344,1,4.85
16645,943663170289965180,Condo in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,457617324,Bayview Village,43.77009314815671,-79.36767686,Entire home/apt,94.0,28,10,2023-12-10,3.49,1,49,10,5.0
16646,943677147596357677,Home in Toronto · 1 bedroom · 1 bed · 1 private bath,454112869,Moss Park,43.65922708658096,-79.37367942,Private room,112.0,1,1,2023-12-10,1.0,3,52,1,4.85
16647,943678945592482907,Home in Toronto · 1 bedroom · 1 bed · 1 bath,379108652,Newtonbrook West,43.78893808981249,-79.43635586,Entire home/apt,120.0,28,1,2023-09-09,0.24,1,0,1,4.85
16648,943695691450820593,Rental unit in Toronto · ★4.82 · 3 bedrooms · 3 beds · 2 baths,526364270,Moss Park,43.65655869137995,-79.37235186,Entire home/apt,272.0,2,21,2024-01-02,3.89,1,0,21,4.82
16649,943753361752987124,Home in Toronto · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,19630125,South Riverdale,43.6668071,-79.3265933,Entire home/apt,450.0,3,3,2023-08-27,0.56,1,171,3,5.0
16650,943916452755044333,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,60007301,Cabbagetown-South St.James Town,43.66447730591556,-79.35875548,Entire home/apt,85.0,28,0,,0.625,1,214,0,4.85
16651,944087416809764654,Home in Toronto · 1 bedroom · 2 beds · 1 bath,333106425,Edenbridge-Humber Valley,43.65869,-79.5292,Private room,44.0,28,0,,0.625,21,38,0,4.85
16652,944112515553520988,Home in Toronto · ★4.69 · 1 bedroom · 1 bed · 1 private bath,528033928,Taylor-Massey,43.693897949917535,-79.29889396,Private room,75.0,1,13,2023-10-30,2.55,1,89,13,4.69
16653,944140064457690773,Rental unit in Toronto · ★4.75 · 3 bedrooms · 3 beds · 1.5 baths,518540591,Trinity-Bellwoods,43.65392305422948,-79.42243701,Entire home/apt,194.0,28,4,2023-11-22,1.43,3,192,4,4.75
16654,944148701609352736,Rental unit in Toronto · ★4.25 · 1 bedroom · 2 beds · 1 bath,503048599,High Park-Swansea,43.65513,-79.45237,Entire home/apt,149.0,28,8,2023-09-17,1.52,2,194,8,4.25
16655,944229661085054797,Rental unit in Toronto · ★4.67 · 2 bedrooms · 2 beds · 1 bath,525874374,Banbury-Don Mills,43.72404751459287,-79.329786,Entire home/apt,205.0,2,3,2024-01-04,0.58,1,354,3,4.67
16656,944276275635435874,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,518386208,Pleasant View,43.78144,-79.33528,Private room,55.0,28,0,,0.625,2,237,0,4.85
16657,944343284099953747,Rental unit in Toronto · ★4.60 · 2 bedrooms · 2 beds · 2 baths,506575949,Annex,43.66893,-79.39366,Entire home/apt,450.0,5,5,2023-12-14,1.08,1,267,5,4.6
16658,944381084656892958,Home in Toronto · 1 bedroom · 2 beds · 1 bath,363664027,Mount Pleasant East,43.71095,-79.3844,Entire home/apt,122.0,2,2,2023-12-17,0.52,2,119,2,4.85
16659,944438343676443674,Home in Toronto · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,508871106,High Park-Swansea,43.64733799814313,-79.47538335,Private room,59.0,3,5,2023-12-01,1.52,3,265,5,4.6
16660,944522792016651941,Home in Toronto · ★4.50 · 2 bedrooms · 2 beds · 1 private bath,518337508,Islington-City Centre West,43.64004973981685,-79.52651291,Private room,99.0,1,4,2023-09-29,0.73,4,90,4,4.5
16661,944608825080112552,Rental unit in Toronto · ★New · 1 bedroom · 1 bed · 1 bath,473720368,Annex,43.67154332516535,-79.393482,Entire home/apt,244.0,28,0,,0.625,1,270,0,4.85
16662,944810525560801163,Home in North York  · 2 bedrooms · 3 beds · 1 bath,363664027,Mount Pleasant East,43.71103178165906,-79.38243279,Entire home/apt,217.0,2,1,2023-12-19,1.0,2,249,1,4.85
